wavelength,x.cmf,y.cmf,z.cmf,illuminant.SPD,unk.SRD1,unk.SRD2,unk.SRD3
687,0.02838056,0.01027339,1.79E-43,0.722902,0.457998993,0.214122296,0.048000546
688,0.02634484,0.009533311,0,0.714339,0.458974605,0.22397486,0.047514568
689,0.02445275,0.008846157,0,0.705776,0.460106787,0.234226193,0.046999447
690,0.0227,0.00821,0,0.697213,0.460313078,0.244606873,0.047000001
691,0.02108429,0.007623781,-1.40E-45,0.699101,0.461227945,0.255535604,0.047000021
692,0.01959988,0.007085424,0,0.700989,0.461962732,0.266368283,0.046989837
693,0.01823732,0.006591476,-8.76E-47,0.702876,0.46300433,0.277190034,0.045996088
694,0.01698717,0.006138485,0,0.704764,0.464001782,0.288036947,0.046000001
695,0.01584,0.005723,0,0.706652,0.464993777,0.298856276,0.046
696,0.01479064,0.005343059,0,0.70854,0.465986401,0.309613693,0.046000027
697,0.01383132,0.004995796,0,0.710428,0.467011742,0.321311471,0.045974569
698,0.01294868,0.004676404,0,0.712315,0.467898826,0.33243618,0.044994822
699,0.0121292,0.004380075,0,0.714203,0.468891688,0.343047207,0.045000009
700,0.01135916,0.004102,0,0.716091,0.46990011,0.353860954,0.045
701,0.01062935,0.003838453,0,0.718831,0.470916019,0.364680619,0.045
702,0.009938846,0.003589099,0,0.721571,0.471936304,0.375562256,0.045
703,0.009288422,0.003354219,-1.67E-52,0.724311,0.47315061,0.386350306,0.045
704,0.008678854,0.003134093,0,0.727051,0.475045712,0.396166238,0.045
705,0.008110916,0.002929,-1.04E-53,0.72979,0.475987193,0.405960907,0.045
706,0.007582388,0.002738139,0,0.73253,0.476908525,0.415754822,0.045
707,0.007088746,0.002559876,0,0.73527,0.478051138,0.424735298,0.045
708,0.006627313,0.002393244,0,0.73801,0.479101876,0.434324014,0.045000011
709,0.006195408,0.002237275,0,0.74075,0.479901143,0.443022969,0.044992473
710,0.005790346,0.002091,0,0.74349,0.481424843,0.451893108,0.045971677
711,0.005409826,0.001953587,-5.10E-57,0.730745,0.482966847,0.460358338,0.046000039
712,0.005052583,0.00182458,0,0.718,0.483987825,0.468276562,0.046
713,0.004717512,0.00170358,0,0.705255,0.485076188,0.476131942,0.045999993
714,0.004403507,0.001590187,0,0.69251,0.486986291,0.482987641,0.045999142
715,0.004109457,0.001484,0,0.679765,0.488010891,0.489910571,0.046992625
716,0.003833913,0.001384496,0,0.66702,0.48890497,0.496513608,0.047000018
717,0.003575748,0.001291268,1.24E-60,0.654275,0.490640627,0.502626929,0.047002074
718,0.003334342,0.001204092,0,0.64153,0.492103225,0.50850663,0.048100766
719,0.003109075,0.001122744,-1.56E-61,0.628785,0.493101888,0.514478468,0.047999961
720,0.002899327,0.001047,0,0.61604,0.49398818,0.519243828,0.047947826
721,0.002704348,0.00097659,0,0.624322,0.495010549,0.524116633,0.048998875
722,0.00252302,0.000911109,0,0.632603,0.496001738,0.528985346,0.049002407
723,0.002354168,0.000850133,0,0.640885,0.496931303,0.533835206,0.050001754
724,0.002196616,0.000793238,0,0.649166,0.497898258,0.537725105,0.050754477
725,0.00204919,0.00074,0,0.657448,0.498892485,0.541618485,0.050992708
726,0.00191096,0.000690083,0,0.66573,0.501095488,0.54548828,0.051971396
727,0.001781438,0.00064331,-4.75E-66,0.674011,0.501989866,0.549348355,0.05228664
728,0.00166011,0.000599496,0,0.682293,0.502968404,0.553191895,0.052963138
729,0.001546459,0.000558455,-2.97E-67,0.690574,0.50402528,0.557011418,0.054001446
730,0.001439971,0.00052,0,0.698856,0.506015633,0.559864397,0.054990782
731,0.001340042,0.000483914,-1.85E-68,0.704057,0.507011187,0.562968843,0.055979225
732,0.001246275,0.000450053,0,0.709259,0.508639101,0.566739059,0.056979818
733,0.001158471,0.000418345,1.16E-69,0.71446,0.51012972,0.569466889,0.058105838
734,0.00107643,0.000388718,0,0.719662,0.511298839,0.572425606,0.059100513
735,0.000999949,0.0003611,7.24E-71,0.724863,0.512141517,0.575047034,0.059988209
736,0.000928736,0.000335384,0,0.730064,0.514014521,0.576991124,0.060996848
737,0.000862433,0.00031144,-4.53E-72,0.735266,0.515042479,0.578958412,0.062901817
738,0.00080075,0.000289166,0,0.740467,0.51590247,0.581731848,0.064010897
739,0.000743396,0.000268454,0,0.745669,0.517583342,0.582862396,0.065583949
740,0.000690079,0.0002492,0,0.75087,0.518403109,0.585366087,0.067368648
741,0.000640516,0.000231302,-3.54E-74,0.739376,0.519229159,0.586918658,0.068913261
742,0.000594502,0.000214686,0,0.727881,0.52000593,0.589059847,0.071061822
743,0.000551865,0.000199288,2.21E-75,0.716387,0.521005219,0.589970184,0.072978431
744,0.000512429,0.000185048,0,0.704893,0.521914271,0.591953757,0.075840491
745,0.000476021,0.0001719,0,0.693398,0.522889527,0.593646299,0.077969125
746,0.000442454,0.000159778,0,0.681904,0.524466502,0.594868911,0.080334088
747,0.000411512,0.000148604,0,0.67041,0.524933674,0.596902915,0.083181445
748,0.000382981,0.000138302,0,0.658916,0.526006879,0.598116339,0.087019485
749,0.000356649,0.000128793,0,0.647421,0.527001722,0.599990708,0.089995234
750,0.000332301,0.00012,0,0.635927,0.527996872,0.601031491,0.092964567
751,0.000309759,0.00011186,-6.75E-80,0.618752,0.528979608,0.602008701,0.09658869
752,0.000288887,0.000104322,0,0.601578,0.529485888,0.602908463,0.100513445
753,0.000269539,9.73E-05,0,0.584403,0.529931488,0.603929024,0.104213251
754,0.000251568,9.08E-05,0,0.567229,0.531006773,0.604967981,0.109150015
755,0.000234826,8.48E-05,0,0.550054,0.531998241,0.605988338,0.11399252
756,0.000219171,7.91E-05,0,0.53288,0.532991069,0.607845279,0.117812312
